,index,EssayText,bsq,label,set,b
0,1650,"Rose is emotionally strong and hopefull.  She provides words of encouragement to her little sister when Anna is doubting their family.  She is responsible in the fact that she has a job, goes to school, and helps out around the house when her parents are not there.",Does the answer support the identified trait with the provided detail?,0,train,c1
1,379,THhey all have regrets in life about one important thing.,Does the answer support the identified trait with the provided detail?,0,train,c1
2,675,She is caring for her sister. She asks her sister what is wrong and if she feels okay.,Does the answer support the identified trait with the provided detail?,1,train,c1
3,175,That she is very selfish because she thinks that everything needs to help her via the quotations of her saying that it isnt fair that their dad has been gone for 4 months.,Does the answer support the identified trait with the provided detail?,0,train,c1
4,84,"Rose's family is always busy working. Her mother and father, and even herself after school for a four-hour shift.",Does the answer support the identified trait with the provided detail?,0,train,c1
5,858,"One trait that identifies Rose is that she likes to make other people happy. With her siste, Anna, she hid how she was feeling weighed down and tried to make her sister feel better. With her Aunt Kolab, she didn't want to tell her the truth because it would hurt her and her mother.",Does the answer support the identified trait with the provided detail?,1,val,c1
6,1327,I think that Rose likes to keep her feelings to hereself like shes shy or just don't like to talk about her problems.,Does the answer support the identified trait with the provided detail?,0,train,c1
7,270,Rose is a harworking young woman who would do most anything to protect her family.  Rose puts aside her life in order to help her brother through school.  She works instead of plays so that her brother can get through school and take care of her rather than the other way around.,Does the answer support the identified trait with the provided detail?,1,train,c1
8,146,"'WE have our part to do to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.'This shows that she is an incourager, and also how she is an adult to.",Does the answer support the identified trait with the provided detail?,1,val,c1
9,1322,"Rose is really busy with her life, shes always tring to squeeze things in. In the lines 17-19 Rose tells the reader that shes afraid to tell her family how she feels, she feels weighed down by helping her family.",Does the answer support the identified trait with the provided detail?,0,train,c1
10,460,"One trait that descirbes Rose is strong. When she is talking to Anna she tells her that the reason their dad had to leave is because he needed to go and work. Instead of showing her sadness about her dad leaving, she tells Anna that he did not have any other choice. He had to leave because he needed to raise money for the family.",Does the answer support the identified trait with the provided detail?,1,train,c1
11,1625,"That Rose was kind and didn't want to hurt anyone. In the passage Rase said to her self that ' If she told the truth, she would hurt her aunt.'",Does the answer support the identified trait with the provided detail?,1,train,c1
12,946,Rose is positive and kind. I think she is kind because she tries to make others stay positive and see the glass half full. She tries to make others feel as if they are helping and make them feel strong and good about themselves.,Does the answer support the identified trait with the provided detail?,1,train,c1
13,179,Rose in very responceable because in the story she si stell Aunt Kolab that she is exausted from workin and aunt Kolab asks if it is putting too much stress on  her trying to help out this family.,Does the answer support the identified trait with the provided detail?,0,train,c1
14,1520,"Rose is loyal to her family. She feels pressure but still feels the need to help the best way she can. When Rose spoke to her sister about why their father had to leave, telling her the job in Los Angrles paid more, it shows that she is loyal to her family members actions.",Does the answer support the identified trait with the provided detail?,1,train,c1
15,1101,"Rose is grateful. She is willing to help the family whenever it is needed. She is willing to get a job and helped pay for her college education and also Anna's, her younger sister. In the story it says in a different way that she is proud of her heritage and how she lives.",Does the answer support the identified trait with the provided detail?,0,train,c1
16,1208,"One trait that Rose displays in her conversation with Aunt Kolab is that she is selfless. Even though Rose feels weighed down by her responsibilities, she does not complain to her Aunt Kolab because she knows that it would hurt her feelings. Roses' life is very difficult, but she puts the feelings of her aunt and her mother above her own feelings.",Does the answer support the identified trait with the provided detail?,1,train,c1
17,939,she is always busy,Does the answer support the identified trait with the provided detail?,0,train,c1
18,1796,"She respects what her family wants. The whole time her sister was arguing on how much she misses her dad and mom, Rose knew what was right and what she had to do.",Does the answer support the identified trait with the provided detail?,1,train,c1
19,1206,"She is very protective of her family. She wants to fix everything and make sure everything works out. She has a strong sense of duty. You can see this by how she goes straight from school, to work a long shift, to help her aunt make dinner.",Does the answer support the identified trait with the provided detail?,1,train,c1
20,117,"One trait that that can decscribe Rose based on her conversation with Anna would be worried. My example from the context would be, 'Anna,' Rose said. 'What's wrong? You feel okay?'",Does the answer support the identified trait with the provided detail?,1,train,c1
21,819,"She dont pay attention too anna, and anna dont pay attention too her.",Does the answer support the identified trait with the provided detail?,0,train,c1
22,755,She stood and stalked out of the kitchen. She was angry but very miss understanded.,Does the answer support the identified trait with the provided detail?,0,train,c1
23,820,"Rose is a very hard worker, but is feeling extremely stressed and fatigued by all the tasks she has to complete each day.  In one day, she went to school, worked at the restaurant for a four-hour shift, and then straight home to help Aunt Kolab prepare a quick supper, then she finally began writing her three-thousand-word essay.  She wonders if her aunt feels weighed down by her family problems like she does.  She is very stressed and needed someone to talk through her problems with.",Does the answer support the identified trait with the provided detail?,1,val,c1
24,668,"One trait that is used by Rose in the story is her support.  Alothough Rose has school, work, and a 3,000 word essay to write, and cooking to do, she is still working hard to support her brother Paul.  Even though she feels weighed down by the crammed schedule, she is still working her four-hour shift at a restaurant after school.",Does the answer support the identified trait with the provided detail?,1,val,c1
25,1001,"When Rose says that he has only been gone for four months and he is getting paid three times as much in Los Angeles. It shows that Rose a mature and understanding person, partly because she feels obligated to.",Does the answer support the identified trait with the provided detail?,0,train,c1
26,1409,"Rose is stressed out because she is writing an essay and working four hour shifts. She is exhausted and stressed out about school, work, and the essay.",Does the answer support the identified trait with the provided detail?,1,train,c1
27,1244,"She feels very stressed out. Why is that, because the story says, 'She felt to young for so much responsibility'.",Does the answer support the identified trait with the provided detail?,1,train,c1
28,213,A trait that Rose has is caring about her family. She's not selfish at all. In the story Rose states that money isn't everything and even though she missed her father she understood that he had to go to Los Angeles for the money.,Does the answer support the identified trait with the provided detail?,1,val,c1
29,347,"In both conversations they talk about being flustrated and weighed down with stress. Rosa feels she almost can't go on because of the fact her fathers gone and she's left to work. Rosa feels,' that she is too young for so much responsibility.'",Does the answer support the identified trait with the provided detail?,1,train,c1
30,169,"Based on her conversation with Anna, Rose is an understanding person. Anna is still young so she can not fully understand why her family is working so hard. Rose explains to her its for the enitire family; for her brother and themselves. Rose overworks herself with school and work but she knows its for her family so keeps on perservering, ignoring the fact that she feels too much responsibility for her age.",Does the answer support the identified trait with the provided detail?,1,train,c1
31,933,"Rose tends to feel uncomfortable with expressing her inner struggles. While talking to Anna, Anna tells her, 'You sound just like Mama,' illustrating that Rose covers her feelings by saying what she feels is expected of her.",Does the answer support the identified trait with the provided detail?,1,train,c1
32,92,"One Trait that would describe Rose would be helpful. Rose is help ful because she help around the house and help Paul finish college. In the text it says 'We have our part to do to help Paul finish college. Then he'll get a job, Anna, and he'll pay for you and me to go to college.'",Does the answer support the identified trait with the provided detail?,1,train,c1
33,1090,"Rose is a trusting person. In her conversation with Anna she says, 'We have our part to do to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.' She puts her trust in her brother that he will graduate from college and get a good job to pay for her and their sister to go to college also. Rose could not put her trust in her brother and save her money, from working, for herself, but instead she puts her trust in her brother and works because she believes he will get a good job.",Does the answer support the identified trait with the provided detail?,1,val,c1
34,1378,"In the convorsation Rose had with her younger sister Anna, she seem to be strong. She was being postive about the situation with her father. I feel she was being this way towards her sister to give her comfort, and make it seem like things arnt as bad as they seem.",Does the answer support the identified trait with the provided detail?,1,train,c1
35,1788,"Rose seems to be very responsible. She had a job to be on time for, school work to get done, and she had to help her Aunt Kolab with house chores.",Does the answer support the identified trait with the provided detail?,1,train,c1
36,1412,"she is hard working all the time. she goes to school then works 4 hour shifts after school, then helps fix supper.",Does the answer support the identified trait with the provided detail?,1,train,c1
37,138,"Rose is stumped on if she could squeeze in the essay or not, and that if she tries then she'll be even more packed than what she already is with trying to help out her family already. Rose feels like she is doing her best, but that it also might not be enough. She doesn't really want to tell anyone about her problems either because they might make their problems a little bit more worse.     Aunt Kolab said, with a puzzled look, 'Do you feel so weighed down by what you're doing to help this family?' Rose didn't answer. If she told the truth, she would hurt her aunt. And probably her aunt would tell her mother.",Does the answer support the identified trait with the provided detail?,0,train,c1
38,1450,One trait that describes Rose is tired/ exhausted.' I feel asleep working on my essay' Rose said.,Does the answer support the identified trait with the provided detail?,1,train,c1
39,192,"Rose is responsible, but over works herself.'when would she squeeze in writing a flawless three-thousand word essay?'",Does the answer support the identified trait with the provided detail?,1,train,c1
40,926,She is very angry for some reason,Does the answer support the identified trait with the provided detail?,0,train,c1
41,1082,Rose is very weighed down by all of the stresses in her life. Her Aunt Kolab infers her struggling and offers to help Rose in their conversation at the end of the story.,Does the answer support the identified trait with the provided detail?,1,train,c1
42,418,"Rose is vey independent, she knows what she has to do in order to have the life that she wants, and she will do whatever it takes. When Anna tells her that money isn't everythings, Rosa replies, ' Only if you already have everything. We have our part to do to help Paul finish college.'",Does the answer support the identified trait with the provided detail?,1,train,c1
43,859,I think that Rose is a giving person because she says' maybe I can sew for ladies. Or could make special treats from our country and sell them.',Does the answer support the identified trait with the provided detail?,1,train,c1
44,195,"Rose is determined in the story because in the conversation with Anna, Rose explains to Anna how their situation is going to get better, and she says it with confidence.",Does the answer support the identified trait with the provided detail?,1,train,c1
45,1306,"Rose  felt  an  urgent  need  to  relatd  the dream,  to  expose  it  so  it  would  loosen  its  grip  on  her.",Does the answer support the identified trait with the provided detail?,0,train,c1
46,1364,One trait I identified was that she was more preoccupied with what was going on with her then however eveybody else felt.A detail from the story is when Rose ignored what her sister had to say and went on about her essay. She was more concerned about the essay then Rose's bad dream or how she was feeling.,Does the answer support the identified trait with the provided detail?,1,train,c1
47,1256,"One trait that describes Rose is hopeful. Even though she has to work, go to school, cook, and try to write an essay, she still has hope that her life is going to get better. This is shown when Rose is talking to her Aunt Kolab. 'Maybe I can sew for ladies. Or I could make special treats from our country and sell them.' This sentence shows how she is going to make an effort to make her life better. She is also hopeful by coming up with an essay topic to write about and maybe should could win the writing contest.",Does the answer support the identified trait with the provided detail?,1,train,c1
48,53,"Rose is conflicted. In her conversation with Anna, she realizes that she is helping to pay for her brother's college, even though she doesn't want to do the work.",Does the answer support the identified trait with the provided detail?,1,train,c1
49,1085,Rose is a very caring person. She would not tell her Aunt Kolab that she felt weighed down by her family because she did not want to hurt her aunt.,Does the answer support the identified trait with the provided detail?,1,train,c1
50,280,"Rose feels increadiably stressed, and feels as if the world, especially her brother in college and her father working far away, is on her shoulders. In Rose's dream she feels her brother is crashing down on her and she can't get away.",Does the answer support the identified trait with the provided detail?,1,train,c1
51,397,"Even though Rose has a lot going on in her life, she still takes the time to be caring for her sister. When Anna has a bad dream, Rose says, ''What's wrong? You feel okay?'' When Anna is feeling down, Rose tries to lighten the situation by saying, ''It's only been four months.'' This clearly shows that Rose is caring.",Does the answer support the identified trait with the provided detail?,1,train,c1
52,6,I believe strength describes Rose. She is trying to hold her family together and we see this during her conversation with Anna.,Does the answer support the identified trait with the provided detail?,1,train,c1
53,1587,"The one trait I would use to described Rose would be helpful. I believe Rose is helpful because she not only goes to school but she helps support her family. In the story it said that Rose's brain must have surrendered to exhaustion, and it goes on to explain why. Rose had a paper to write but she fell asleep because of the school day she had earlier and the four-hour shift she had worked at the restraunt prior to her coming home.",Does the answer support the identified trait with the provided detail?,1,train,c1
54,488,She thinks about the getting the job done. When aunt Kolab was talking to her she was thinking that she could use that topic for her essay.,Does the answer support the identified trait with the provided detail?,1,train,c1
55,453,A trait that Rose can be described by is realistic.  She realizes the importance of her dad taking a job in Los Angeles because it pays three times more than what he was making.  She knows that the money will go to good use by putting his children through college.,Does the answer support the identified trait with the provided detail?,1,train,c1
56,1253,one of Rose's traits in the story is being insercure about herself.,Does the answer support the identified trait with the provided detail?,0,train,c1
57,927,"One of Rose's traits is the she is resourceful. She needed a topic for her paper, and she was able to come up with one after talking to her aunt.",Does the answer support the identified trait with the provided detail?,1,train,c1
58,292,"Rose seems to be reserved. She's more to herself, she won't talk about her feelings to others. At the end of the story, Aunt Kolab was asking Rose about how she felt about the family. She asked, 'Do you feel so weighed down by what you're doing to help this family.' Rose didn't answer to her Aunt Kolab she just simply nodded.",Does the answer support the identified trait with the provided detail?,1,train,c1
59,244,"Rose is very considerate. She did not want to Aunt Kolab her real feelings on the situation because she was afraid it was going to hurt her. Instead, she decided to take in all the responibilites given to her and do the best with them and that concluded to Rose possibly having a change in her life.",Does the answer support the identified trait with the provided detail?,1,train,c1
60,586,"One trait is that Rose is optimistic; she looks at things positively. Rose said 'We have our part to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.' Even though it's a rough situation, she's looking at what good can come out of it.",Does the answer support the identified trait with the provided detail?,1,val,c1
61,340,"One trait is caring. It can be seen when Rose was asks her sister, Anna Whats wrong. This shows she cares about whats upsetting her sister.",Does the answer support the identified trait with the provided detail?,1,train,c1
62,111,"Rose can be described as being reserved about her true feelings. This shows in her conversation with Aunt Kolab, in which Rose's responses consist of nodding as Aunt Kolab is explaining how she understands Rose's point of view.",Does the answer support the identified trait with the provided detail?,1,train,c1
63,602,Rose is helpful.  She works to help support Paul and the rest of her family.  Anna and Aunt Kolab both talk about the problems that are occuring because of all the things that they have to do to support the family.,Does the answer support the identified trait with the provided detail?,1,train,c1
