,essay_id,essay_set,essay,domain1_score,domain2_score,split,llm
1,4309,2,I don't think certin matrials should be removed from library shelvs. People have the option to get what they choose from the shelvs the lirarians don't force them to choose the item. It is a free country and i think people should choose what they wan't. If the people don't like it then read the back of the movie or book before you choose it.,2,2.0,train,Score: 2
2,3572,2,I think alot of books are good to read cause some of them will tell you more wat u didnt know so thierfore u might pick up a book that u like and read it andyou @MONTH1 like it but doesnt have more meaning to  what your reading alot of books you read have some type of character in it that might talk about another thing thats opposite then what the other charcter is talking about magazines show you sometimes wat the persons life style is like some books that people read has no action or felling in it so they can just pick up and read the book its always good to pick up a reasonable  book so someone can read books thats positive and would mean something to other people to read the same book you read i think the best book is one that tells you about life and what you need to know to suceed life you @MONTH1 run in to a book that is true and get into it so you can learn sometimes about what you read and write about it on a essay paper a magazine and movie book shows alot of action and wat its like what they do most people migh think its boring to read a unaction book so they get a book that they have action to so it might exsite them more than a regular book but most books have more pictures than words in it you should take a book off the shelf that has wat  you need to know about cause action books might not help you all the time the more action fun books you read are not as good as wat another book is taking place at in a stor,2,1.0,train,Score: 2
3,4585,2,"Yes, some materials,such as books, music, movies, magazines, etc., are offensive.Yet they shouldn't be removed from shelves.Reason number one is: @CAPS1 some people find offensive, others don't. Reason number two is:'offensive' material will @CAPS6 be out in the world.And finally, if parents don't want their children reading offensive material, they should only ban their children from reading them and not the rest of the world. In @CAPS2 following essay, I will explain thoroughly my reasons for an opinion as such.     '@CAPS1 is one man's trash is another man's treasure.' @CAPS2 quote goes very well with the first reason: @CAPS1 some people find offensive, others don't. People's views about everything could be significantly different. For example, a book about @PERSON1 killing the @CAPS3 could be offensive to someone with @CAPS4 descent, meanwhile,a book filled with cursing could be offensive to a religous person. As you can see,'offensive' is defined differently by different people.     Offensive material will @CAPS6 be out in the world. Parents can't shelter their child from these things forever. At one point in their lives, children will learn offensive things and parents won't be able to do anything about that. Children have actives mind that pick up on everything around them. If they learn from these offensive materials, then parents should teach them @CAPS1 is wrong and @CAPS1 is right.     Finally, if parents don't want their children reading offensive material, they should only ban their children from reading them and not the rest of the world. @CAPS2 reason ties in perfectly with the first. Parents can't decide @CAPS1 the parents of other children should do. They can only do something about @CAPS1 their children are doing.     Therefore, my belief on censorship in libraries is nonexistant for the following reasons. @NUM1.)@CAPS1 some people find offensive, others don't. @NUM2.)Offensive material will @CAPS6 be out in the world. And @NUM3.)If parents don't want their children reading offensive material,they should only ban their own children from reading them and not the rest of the world. Thus, there should be no censorship in libraries",3,3.0,train,Score: 3
4,3235,2,"Why Censorship @CAPS1 @CAPS2?     In our everyday lives, we come across many things that can be taken to offense.  Some of these things we might not even realize, but they're out there.  Everybody doesn't want there children getting into the wrong things early on, but we know it will eventually happen.  We just have to teach our kids what @CAPS1 good and what @CAPS1 @CAPS2.  This goes for literary items too.  We need to have faith in our kids that they will do what @CAPS1 right.  I think that when old enough, they should be able to read books and listen to music that might be offensive.  I think we shouldn't get rid of all the offensive material at the libraries.     Now days, there @CAPS1 a lot of hard work that goes into music, movies, and books.  If we start getting rid of all the offensive material, many people will be offended that in itself.  The people that worked on the movie or wrote that book put a lot of time and effort into the piece.  They spent countless of hours working with others just to get the piece into publication, or trying to get somone to film their movie idea.  I think that it would be wrong to outrule peices of great literature because behind every one of them, there @CAPS1 a person that put a lot of effort into that material.     In every book you pick up today, you could look through it and find a offensive language or offensive gestures in it.  The @CAPS3 @CAPS4 @CAPS5 @CAPS1 a very detailed book and has many great facts in it, but many people find it offensive because it says @PERSON2 had a wife and had children.  This book isn't telling you what to believe or what actually happened, it @CAPS1 just a story full of conspiracy theories.  You can still believe what you want and read this book.  A movie that could be considered offensive just by the title @CAPS1 @CAPS6 @CAPS7 Can't @CAPS8.  Many people hear this title and @MONTH1 not want to watch it, thinking that it will discriminant against @CAPS6 people, but instead it @CAPS1 a very good movie about a group of people that play basketball.  Many things have offensive language but that doesn't mean we can't act like adults, read these books, and realize that they are just stories.  They are not telling you what to believe and what not to believe.     In our country today, we have many different ethnic groups, and many people think differently about things.  In our society we are given the right to have our own opinion about things, and we are able to like what ever we want.  Even though literary might be offensive, some people like reading books like this.  If I look in the library, I could find a book with offensive material, but the book could still be a very good book.  Even though it @CAPS1 disrcimanting against me, I could still love the book.  There @CAPS1 always controversy in our society, and almost everyone loves it.  Why get rid of these books when people are still enjoying them everyday.     Like Katherine Paterson said, if she has the right to take a book off of the shelf, then so does everyone else.  If we let everybody take books off the shelves, then there will be none left.  We cannot control everything that people do.  Taking offensive books out of the library will not stop people from reading them, but this will decline the library usage, and people will slowly stop reading.  If they don't like the books at the library, then they won't have problem with not reading at all.  I think that censorship in our libraries would be a @CAPS2 idea, and I think we should definitely not take out all the offensive material in the libraries",4,3.0,train,Here’s the breakdown of
5,3360,2,"Libraies should not be able to remove books, movies, and  magizines off the shelves just because some kids might be offended. If the town libraries and school libraries took out the cool movies, magizines, and books that most kids love to read and watch then the kids that like those books , movies, and magizines would not return to the library any more.           For example, I like to listen to hard rock, heavy metal, and rap. But, the people that go to church just like to listen to church music. If your with your friend one night because he invited you to come to church with him and you pull in the parking lot listening to your rap music some people @MONTH1 not like it. This doesn't mean that they should take the things people don't like off the shelves in order to satisfy them.          Libraries should have a policy stating that if a child should check out a book or magizine or rent a movie, that they should have the childs parents sign and return a permission slip stating that their child has their permission to rent this book, magizine, or movie. Libraries should have an age limint to check out books and magizines. If kids would want to rent a movie then they would have to have a permission slip signed by their parents and returned. This permission slip will and can be used for all movies.           Libraries should not remove their books, magizines, or movies. They should make a policy to allow older kids to check them out. So, library material should be a choice",4,3.0,train,Here’s the breakdown of
6,3660,2,"I think that certain materails should not be removed because a couple people do not like what is in a book, or movie, or in music. If we where to listin to what everyone said and remove the books that they do not like then other people would not have anything to read. For example if a man came in a library and asked the library to remove a book that is about murdering and has violence in it. A person that @MONTH1 come in the library daily @MONTH1 want to read that book because that is the type of books that the man likes.     Another example is if a person has children that come into the library and there children were watching movies about gangs,drugs,and violence, the mother would want that movie removed from the library. I say that if the mother does not want her children to watch the movies they do she should say something to them and punish them every time they are cought watching it. Instead of parents trying to remove the books that many other people like they should be more disciplined with there children.A way for the library to stop children from geting movies or books they should not be reading is to put all the books and movies in a special area where it will be watched. Many people like movies with drugs, and violence. There type of movies or books should not be removed because of what another person thinks about that certian thing.     I also think that if a person does not like the type of language or images in a book or movie then they should not read it or watch it. And if they say there children watch it or read it without there permission then that is there fault and they should know more about what there young children are doing instead of trying to get that book, movie removed sometimes books and movies have very offensive languge but that is because they are just trying to show some of the stuff that happens in the real world. They want the movie or book to be as real as posssible.",3,4.0,train,Score: 3
7,3162,2,"Censorship is one of the most broken laws in @LOCATION1.  It is illegal to censor any publication such as books, magazines, music or movies.  Censorship most often occurs with books in a school setting.  Censorship should no longer be tolerated because it affects the writers, school system and escpecially readers.       In the @ORGANIZATION1 every person has the right to express their feelings and opinions on any topic that they want to.  School systems are taking away that right by not allowing them to have a certain book in a school.  Schools should be a place for either all books or a place for no books at all.  The faculty of a school does not have the right to decide what books are allowed in their school based on their own ideals.  It is not fair to the writer to be descriminated agianst, and that writer must have the right to have their book read in any setting.       The next group that censorship within a school system affects is the school system itself.  If a school is allowed to take away one right of a group of people without punishment, then they might start taking away other rights.  In general school systems and teachers are power hugnry leaders of the student body of a school.  They make rules just to display their power over students, and take away many of their rights.  If schools are allowed to continue censoring books, then this could lead to a downward spiral of all being censored.  As Katherine Paterson once said,'All of us can think of a book that we hope none of our children...take off the shelf.  But if I have the right to remove the book I abhor...then you have exactly the same right...And then we have no books left on the shelf for any of us.'  The government of the @ORGANIZATION1 needs to crack down on school censorship because it is unconstitutional.       The last major group of people that censorship within a school system is the potential readers and students.  Censoring a book is taking that persons ability to learn about, and understand a certain topic that was censored.  Students within a school must have the right to read what they want to read regardless of the schools beliefs and ideals.       In conclusion, censorship in any setting, but escpecially in school must no longer be tolerated because it affects writers, school systems, and potential readers.  Schools are taking away the constitutional right of all potential readers.  The government of the @ORGANIZATION1 needs to crack down on the unlawful practices occuring in schools, around the country, everyday",4,4.0,train,Here’s the breakdown of
9,3020,2,"Do you want your nine year old @CAPS2 talking and reading about inappropreite subjects such as sexual relationships or language? No! I know I wouldn't for my @CAPS2. I think books that are offensive and inappropreite shouldn't be in @LOCATION1 school or elementray schools with little ones or even @NUM1 years olds. And parents should be in conrol of what thier kids watch and listen too.     Honstley we can't control how people make movies or what singers are saying in songs but we can control who listens to them and watches them. Its the parents that are the only ones who can control thier children, no one else.     In libraries I feel like its the librarians who are the cause for letting children read offensive books. And I don't mean any disrespect but wouldn't you agree? I mean think about it, librarians are the ones in control of the books that are in the library, and I think that they should make sure that the book young teens are checking out are appropraite enough for them to read. Ones that don't involve sex or violence that @NUM1 year olds shouldn't be reading.     Here's an idea, maybe libraries should have @DATE1 year olds sign a paper or have a certain card with them that allows them to check out that certain book or @CAPS4. And it should have parents permisson on it showing that the parents approve of this. But I think high schoolers should only be aloud to do this because they are more mature than younger ones. They know better than to start fights or cuss in school.          All I'm saying is that I DO agree with this problem, parents are the reason thier kids are immature and rude because they @CAPS1 thier children get away with the attitude and rudeness. So yes parents and other people do have the right to sensor movies and book, etc.     But what about @CAPS4 theaters you ask? DONT @CAPS1 YOUR @CAPS2 @CAPS3 TO THE @CAPS4 @CAPS5 @CAPS6 YOU!!! It's that simple. Students in high school @CAPS3 to the @CAPS5 after school with friends and get in to see rated @CAPS7 movies @CAPS6 parents. And I do believe that some of them use fake @CAPS8 so they don't need a parent with them. Teens will @CAPS3 home that night and want to re-enact what they saw in the @CAPS4. Even if it's sex, or fights or even language. It's really sad that parents allow this to happen and I think the parents should grow up and disapline thier students. I've seen to many parents letting thier children get away with thier mouth and attitude. Most of my friends parents @CAPS1 thier children get away with everything.      One of my friends is really bad at getting what she wants. She told me that all she has to do is cry and she gets what she wants. I don't always get what I want and I don't want every new thing out there because I don't deserve it. I have to earn to get a new phone or a laptop. I ask my parents and they eaither say we don't have enough money or you don't need it and I just move on with my life. But I don't @CAPS1 books or movies control my life and change who I am. Those things aren't that important. I mean the ones that talk about school or some random story that some stranger wrote and it just happened to show up in the school libraries. The stories or movies, etc., that teens should really pay attention to are the edicational ones. The ones that teach us about life and society. About the future and teach us how life is as an adult and ready us for the real world. Because once those seniors open those high school doors and graduate it's no more staying up late and sleeping in and parting on the weekends. Its the real world, the adult world.     So please read this carefully and I hope what I have said has helped you realize why people sensor these things. Why kids are acting the way they are. Libraries should sensor certain things and not allow students below high school to read them. Please think about what I have said and thank you for taking your time out of your day to read this",4,4.0,train,Score: 3
11,4574,2,"Where it @CAPS1 @CAPS2 @CAPS3     @CAPS4 up noone wanted to read, it's to hard or I don't want to. The best way to get out of reading was reading a magazine. Sure, it's educational but it also can demoralize some people's thoughts and feelings. One way to get rid of this problem is censorship, or taking a specific book out of the hands of the public.     We all have poked fun at people, whether it is to hurt them or just give them a hard time, it can hurt people. Same way with the media. Books, magazines, @LOCATION1, and the internet all are competing for the success and money of its viewers, and the best wat to do that is to appeal to the audience. Give them what they want. For some reason everyone wants to demoralize people, and that is where I think it @CAPS1 the @CAPS3. Stand up for your rights and censor out those things that will lead to worse lives of those to come.     Censorship @MONTH1 just be a big word to most people, but it carries a big problem. For me, it @CAPS1 the @CAPS3 whenever racism is a problem or else vulgarity is an obscene message. The music we listen to can get really intense. I'm a victim of the harsh music that we play more and more of today. Atleast the radio is trying to do better at this whenever they 'bleep' out the curse words or else persuade the artist to make clean lyrics that they play on air. That is where places are trying to clean things up. Make tomorrow be a better place than today.     With all of these new @CAPS5 (Music @CAPS6) shows and other reality sitcoms making air on @CAPS6, it has opened the door to crudeness all over. They try to do a better job of cleaning it up in the sense of picture, censoring out body parts and on the worldwide coverage stations their mouths. Other stations like @CAPS5 don't do anything about the voices and the vulgarity people are showing and feeling towards each other.     Books are another thing that could use some censorship. @CAPS2 teacher used to tell me, '@CAPS8, if you can't read it out loud to me, then you shouldn't probably be reading it.' and I agree. With the technology and all the other things, children are more vulnerable to these harsh words and actions. Thus, leading towards a society who can't trust anyone and easily turns to vulgarity when need be.     With the world today, it is quiet easy to listen to the uncensored version that is shed from the radio. One person tries to make tomorrow a better place but the next tries to demoralize it. It's one thing if your angry and upset and are standing up for your rights but it's not whenever you do it for the fun of it. That is where it @CAPS1 @CAPS2 @CAPS3",4,4.0,train,Score: 2
12,3256,2,"I myself beleves that censorship in libraries should not be aloud. If their was to be any cersorship it should be from the parents of a child or if your not a child then you dont need censored. By censoring something as small as books, movies, and so on I think it will give people a fake sense of what really happens. Just because something isent censored doesnt mean it should be taken out of context eather.     Think of it like this if you walking down a street its not going be censor people will say bad words, show bad habits, and even go as far as seeing death or more. Being a kid who really never been censored from anything including books ive learned alot but I feel as if I went to a librarie to get a book and if censored or taken off the shelf then I will shown a fake world. Once again if life cant be censored then we shouldnt consor anything else.     A censored book, movie or whatever it @MONTH1 be could also determin how much someone could learn from it. People go to liraries to learn hard facts with proff and evadience and depending on the subject in witch their looking up.     This is some of meny reasons I think cendor in libraries shouldnt be aloud. Consorship should be chosen by who you are not by outher people. In the end we @MONTH1 never know whats better till we try.",3,2.0,train,Score: 2
