bsq,cluster,is_centroid
Does the essay address the topic of patience?,2,True
Does the essay include a clear story or narrative?,10,True
Does the essay demonstrate understanding of the concept of patience?,2,False
Does the essay provide specific examples or details?,11,True
Does the essay have a clear structure and organization?,1,True
Does the essay maintain a clear focus on the topic throughout?,0,True
Does the essay maintain a clear focus on the topic throughout?,0,False
Does the essay have a clear focus on the topic?,0,False
Does the essay lack focus on the assigned task?,0,False
Does the essay present ideas or events in a clear and logical order?,6,True
Does the essay present ideas or events in a logical order?,6,False
Does the essay have clear and logical connections between ideas and/or events?,6,False
Does the essay have a clear structure?,1,False
Does the essay use a variety of sentence structures?,4,True
Does the essay use appropriate and varied vocabulary?,9,True
Does the essay use a variety of words and sentence structures?,4,False
Does the essay use language effectively for the writer's purpose and audience?,7,True
Does the essay have consistent and appropriate use of Standard English conventions for the grade level?,5,True
Does the essay have correct grammar for the grade level?,8,True
"Does the essay contain frequent errors in grammar, usage, spelling, capitalization, or punctuation for the grade level?",3,True
"Does the essay contain frequent errors in grammar, usage, spelling, capitalization, or punctuation?",3,False
