source,llm
question,1. Does the essay provide a clear explanation of the author's conclusion? 2. Does the essay include details from the story? 3. Does the essay use examples to support its ideas? 4. Does the essay maintain a logical flow of thought? 5. Does the essay demonstrate an understanding of the story?
rubric_3_text,1. Does the essay identify key themes or ideas from the text? 2. Does the essay analyze relationships between different parts of the text? 3. Does the essay provide evidence from the text to support its points? 4. Does the essay acknowledge and address contradictions or complexities in the text? 5. Does the essay show a nuanced understanding of the text's deeper meanings?
rubric_3_elements_0,1. Does the essay answer the question asked? 2. Does the essay cover all parts of the question? 3. Does the essay stay focused on the topic? 4. Does the essay provide relevant information? 5. Does the essay meet the requirements specified in the question?
rubric_3_elements_1,1. Does the essay use explicit information from the text? 2. Does the essay use implicit information from the text? 3. Does the essay accurately interpret the text's information? 4. Does the essay integrate information from the text effectively? 5. Does the essay avoid misrepresenting the text's information?
rubric_3_elements_2,1. Does the essay go beyond the basic information? 2. Does the essay provide new insights? 3. Does the essay connect ideas effectively? 4. Does the essay show deep understanding? 5. Does the essay use evidence to support ideas?
rubric_2_text,1. Does the essay show a basic understanding of the text? 2. Does the essay provide literal interpretations of the text? 3. Does the essay avoid deeper analysis or critical thinking? 4. Does the essay include direct quotes or paraphrases from the text? 5. Does the essay lack original insights or personal connections?
rubric_2_elements_0,1. Does the essay address the main question? 2. Does the essay cover all parts of the question? 3. Does the essay provide relevant information? 4. Does the essay stay focused on the topic? 5. Does the essay develop each part sufficiently?
rubric_2_elements_1,1. Does the essay reference the text? 2. Does the essay use specific details from the text? 3. Does the essay show understanding of the text's main idea? 4. Does the essay connect ideas from the text? 5. Does the essay use implied information from the text?
rubric_2_elements_2,1. Does the essay present a clear conclusion or assertion? 2. Does the essay provide supporting evidence? 3. Does the essay connect evidence to the conclusion? 4. Does the essay analyze the evidence? 5. Does the essay address the text(s) effectively?
rubric_1_text,1. Does the essay mention key details from the text? 2. Does the essay demonstrate a basic understanding of the main idea? 3. Does the essay reference specific events or characters from the text? 4. Does the essay show awareness of the text's purpose or message? 5. Does the essay provide a simple analysis or interpretation of the text?
rubric_1_elements_0,1. Does the essay demonstrate understanding of the main idea? 2. Does the essay provide evidence of interpretation? 3. Does the essay show connection to personal experience or knowledge? 4. Does the essay include relevant details from the text? 5. Does the essay reflect thoughtful engagement with the text?
rubric_1_elements_1,1. Does the essay misinterpret the main idea of the text? 2. Does the essay misquote or misrepresent the text? 3. Does the essay answer the wrong question? 4. Does the essay show a lack of understanding of key details? 5. Does the essay contain factual inaccuracies from the text?
rubric_1_elements_2,1. Does the essay provide sufficient information to understand the text? 2. Does the essay include explanations that support the understanding of the text? 3. Does the essay address the question posed? 4. Does the essay lack necessary details to support its points? 5. Does the essay demonstrate a clear connection between the text and the question?
rubric_0_text,1. Does the essay address the given topic? 2. Does the essay contain any relevant information? 3. Does the essay contain any correct information? 4. Does the essay contain any incorrect information? 5. Is the essay blank or empty?
