source,llm
question,1. Does the answer define the term 'invasive'? 2. Does the answer connect 'invasive' to the rest of the article? 3. Does the answer provide specific examples from the article? 4. Does the answer demonstrate understanding of the article's context? 5. Does the answer provide a clear and logical explanation?
rubric_2_text,1. Does the answer demonstrate a thoughtful and thorough examination of the text? 2. Does the answer use information to move beyond the boundaries of the text? 3. Does the answer evaluate explicit information? 4. Does the answer evaluate implicit information? 5. Does the answer make insightful judgments about how the word 'invasive' shapes the article's argument and meaning?
rubric_2_elements_0,1. Does the answer mention the term 'invasive'? 2. Does the answer refer to non-native species? 3. Does the answer mention introduction into ecosystems? 4. Does the answer specify ecosystems where species do not naturally occur? 5. Does the answer explain the concept of 'invasive'?
rubric_2_elements_1,1. Does the answer mention exotic pets? 2. Does the answer discuss ecological impact? 3. Does the answer connect the word to a broader debate? 4. Does the answer provide relevant examples or evidence? 5. Does the answer demonstrate understanding of the topic?
rubric_2_elements_2,1. Does the answer mention the author's use of the term? 2. Does the answer identify the tension between traders and conservationists? 3. Does the answer frame the tension in the context of the term? 4. Does the answer evaluate the author's use of the term? 5. Does the answer provide a clear and concise analysis?
rubric_2_elements_3,1. Does the answer mention specific details from the article? 2. Does the answer provide evidence from the article? 3. Does the answer include direct quotes from the article? 4. Does the answer reference specific examples from the article? 5. Does the answer use information unique to the article?
rubric_1_text,1. Does the answer demonstrate sufficient examination of the text? 2. Does the answer attempt to use information to move beyond the text? 3. Does the answer evaluate explicit information? 4. Does the answer evaluate implicit information? 5. Does the answer present plausible but not fully developed judgments?
rubric_1_elements_0,1. Does the answer mention the word? 2. Does the answer provide an explanation? 3. Does the answer explain the word's significance? 4. Does the answer provide a partial explanation? 5. Does the answer avoid irrelevant details?
rubric_1_elements_1,1. Does the answer include any relevant detail from the article? 2. Does the answer provide a clear analysis? 3. Does the answer develop the analysis fully? 4. Does the answer demonstrate understanding of the article? 5. Does the answer provide sufficient evidence to support the analysis?
rubric_0_text,"1. Does the answer demonstrate a cursory examination of the text? 2. Does the answer stay within the boundaries of the text? 3. Does the answer make superficial observations? 4. Does the answer lack support or evidence? 5. Does the answer contain illogical, vague, or irrelevant points?"
